timestamp,ip,port,organization,country,city,service,version,cve_ids,vulnerabilities_count,risk_level,risk_score,os,hostname,isp,asn,http_code,ssl_cert,tags
2026-02-17T00:29:19.163341,104.236.214.142,6379,"DigitalOcean, LLC",N/A,N/A,Redis key-value store,7.2.11,,0,INFO,5.0,Linux 4.4.0-210-generic x86_64,N/A,"DigitalOcean, LLC",AS14061,N/A,N/A,"eol-os,cloud,compromised"
2026-02-17T00:29:19.183234,154.219.118.199,6379,candy,N/A,N/A,Redis key-value store,7.4.7,,0,INFO,5.0,Linux 6.17.0-12-generic x86_64,N/A,I LAYER LIMITED,AS137899,N/A,N/A,"eol-os,compromised"
2026-02-17T00:29:19.194556,172.235.173.64,6379,Linode,N/A,N/A,Redis key-value store,7.2.0,,0,INFO,5.0,Linux 2.6.32-220.7.1.el6.x86_64 x86_64,172-235-173-64.ip.linodeusercontent.com,Akamai Connected Cloud,AS63949,N/A,N/A,"eol-os,cloud,cdn"
2026-02-17T00:29:19.209117,158.69.221.107,6379,"OVH Hosting, Inc.",N/A,N/A,Redis key-value store,8.4.0,,0,INFO,5.0,Linux 5.15.0-168-generic x86_64,vps-0bb016c8.vps.ovh.ca,OVH SAS,AS16276,N/A,N/A,
2026-02-17T00:29:19.225489,24.199.74.175,6379,"DigitalOcean, LLC",N/A,N/A,Redis key-value store,7.0.15,,0,INFO,5.0,Linux 6.8.0-71-generic x86_64,N/A,"DigitalOcean, LLC",AS14061,N/A,N/A,"eol-product,eol-os,cloud"
2026-02-17T00:29:19.241878,178.32.121.105,6379,OVH SAS,N/A,N/A,Redis key-value store,7.4.2,,0,INFO,5.0,Linux 3.10.0-1160.119.1.el7.x86_64 x86_64,ip105.ip-178-32-121.eu,OVH SAS,AS16276,N/A,N/A,eol-os
2026-02-17T00:29:19.266795,62.169.21.159,6379,Contabo GmbH,N/A,N/A,Redis key-value store,6.2.21,,0,INFO,5.0,Linux 6.8.0-87-generic x86_64,vmi2878554.contaboserver.net,Contabo GmbH,AS51167,N/A,N/A,"eol-product,eol-os"
2026-02-17T00:29:19.284848,95.111.231.242,6379,Contabo GmbH,N/A,N/A,Redis key-value store,7.4.7,,0,INFO,5.0,Linux 5.15.0-134-generic x86_64,vmd53181.contaboserver.net,Contabo GmbH,AS51167,N/A,N/A,compromised
2026-02-17T00:29:19.298817,66.228.34.109,6379,Linode,N/A,N/A,Redis key-value store,6.0.15,,0,INFO,5.0,Linux 2.6.32-220.7.1.el6.x86_64 x86_64,66-228-34-109.ip.linodeusercontent.com,Akamai Connected Cloud,AS63949,N/A,N/A,"eol-product,eol-os,cloud"
2026-02-17T00:29:19.311596,43.138.130.43,6379,"Tencent Cloud Computing (Beijing) Co., Ltd",N/A,N/A,Redis key-value store,3.0.504,,0,INFO,5.0,Windows,N/A,Shenzhen Tencent Computer Systems Company Limited,AS45090,N/A,N/A,"eol-product,cloud"
2026-02-17T00:29:19.321829,194.59.204.141,6379,netcup GmbH,N/A,N/A,Redis key-value store,7.4.7,,0,INFO,5.0,Linux 6.12.63+deb13-amd64 x86_64,v2202511315017408445.happysrv.de,netcup GmbH,AS197540,N/A,N/A,
2026-02-17T00:29:19.332707,185.158.249.22,6379,servinga GmbH,N/A,N/A,Redis key-value store,7.4.7,,0,INFO,5.0,Linux 5.15.0-164-generic x86_64,N/A,servinga GmbH,AS58329,N/A,N/A,compromised
